qb_id,qb_name,team,season,epa_per_play,attempts,completion_rate,sack_rate
00-0019596,T.Brady,NE,2019,0.021347111,679,0.5787923416789397,0.03824362606232295
00-0019596,T.Brady,TB,2020,0.20530502,773,0.6235446313065977,0.03375
00-0019596,T.Brady,TB,2021,0.15967792,838,0.649164677804296,0.03344867358708189
00-0019596,T.Brady,TB,2022,0.040026702,828,0.6340579710144928,0.028169014084507043
00-0020531,D.Brees,NO,2019,0.18646045,422,0.7274881516587678,0.034324942791762014
00-0020531,D.Brees,NO,2020,0.10395827,475,0.6778947368421052,0.02663934426229508
00-0021206,J.McCown,PHI,2019,-0.071387455,35,0.6,0.14634146341463414
00-0022787,M.Schaub,ATL,2019,0.29049125,70,0.7142857142857143,0.027777777777777776
00-0022803,E.Manning,NYG,2019,-0.04374758,152,0.5986842105263158,0.03184713375796178
00-0022824,A.Lee,ARI,2019,4.2406874,1,1.0,0.0
00-0022824,A.Lee,ARI,2020,4.0140114,1,1.0,0.0
00-0022824,A.Lee,ARI,2021,-0.947,1,0.0,0.0
00-0022824,A.Lee,ARI,2022,2.864477,1,1.0,0.0
00-0022924,B.Roethlisberger,PIT,2019,-0.20520037,64,0.546875,0.030303030303030304
00-0022924,B.Roethlisberger,PIT,2020,0.07638043,696,0.6408045977011494,0.018335684062059238
00-0022924,B.Roethlisberger,PIT,2021,-0.07661314,692,0.6054913294797688,0.0546448087431694
00-0022942,P.Rivers,LAC,2019,0.09230018,623,0.6260032102728732,0.0517503805175038
00-0022942,P.Rivers,IND,2020,0.17785054,608,0.6513157894736842,0.030303030303030304
00-0022942,P.Rivers,IND,2025,-0.115417905,97,0.5979381443298969,0.049019607843137254
00-0023436,A.Smith,WAS,2020,-0.13708828,274,0.6131386861313869,0.07432432432432433
00-0023459,A.Rodgers,GB,2019,0.122243606,678,0.5899705014749262,0.05702364394993046
00-0023459,A.Rodgers,GB,2020,0.3243168,634,0.6750788643533123,0.03793626707132018
00-0023459,A.Rodgers,GB,2021,0.21989824,592,0.652027027027027,0.05582137161084529
00-0023459,A.Rodgers,GB,2022,-0.0062527736,575,0.6086956521739131,0.05271828665568369
00-0023459,A.Rodgers,NYJ,2023,-1.01598,2,0.0,0.3333333333333333
00-0023459,A.Rodgers,NYJ,2024,0.0069039003,627,0.5869218500797448,0.05997001499250375
00-0023459,A.Rodgers,PIT,2025,-0.016409,564,0.6099290780141844,0.05527638190954774
00-0023534,D.Colquitt,KC,2019,-1.6261455,2,0.0,0.0
00-0023682,R.Fitzpatrick,MIA,2019,0.04219947,543,0.572744014732965,0.0686106346483705
00-0023682,R.Fitzpatrick,MIA,2020,0.18421137,282,0.648936170212766,0.0472972972972973
00-0023682,R.Fitzpatrick,WAS,2021,-0.68376845,7,0.42857142857142855,0.125
00-0024417,S.Koch,BAL,2019,-2.6248016,1,1.0,0.0
00-0024417,S.Koch,BAL,2020,3.3933275,1,1.0,0.0
00-0024417,S.Koch,BAL,2021,-2.7787173,1,0.0,0.0
00-0025708,M.Moore,KC,2019,0.063619405,98,0.6020408163265306,0.07547169811320754
00-0025825,B.Kern,TEN,2019,1.8128109,3,0.6666666666666666,0.0
00-0025825,B.Kern,TEN,2020,-1.4116644,2,0.0,0.0
00-0026035,D.Amendola,DET,2019,1.9585356,1,1.0,0.0
00-0026035,D.Amendola,HOU,2021,-0.36169755,1,0.0,0.0
00-0026143,M.Ryan,ATL,2019,0.0410039,668,0.6107784431137725,0.0670391061452514
00-0026143,M.Ryan,ATL,2020,0.10119854,669,0.6083707025411061,0.057746478873239436
00-0026143,M.Ryan,ATL,2021,-0.033235855,601,0.6239600665557404,0.062402496099843996
00-0026143,M.Ryan,IND,2022,-0.08497998,502,0.6155378486055777,0.07037037037037037
00-0026158,J.Flacco,DEN,2019,-0.083160944,288,0.59375,0.08280254777070063
00-0026158,J.Flacco,NYJ,2020,-0.049178302,141,0.524822695035461,0.0472972972972973
00-0026158,J.Flacco,NYJ,2021,0.13308147,44,0.6136363636363636,0.043478260869565216
00-0026158,J.Flacco,NYJ,2022,-0.14218424,201,0.5472636815920398,0.04739336492890995
00-0026158,J.Flacco,CLE,2023,-0.10380581,263,0.596958174904943,0.04363636363636364
00-0026158,J.Flacco,IND,2024,0.011493588,267,0.6067415730337079,0.06315789473684211
00-0026158,J.Flacco,CIN,2025,-0.10132766,432,0.5810185185185185,0.04
00-0026197,C.Henne,KC,2020,0.2794461,49,0.6938775510204082,0.057692307692307696
00-0026197,C.Henne,KC,2021,0.022884032,16,0.6875,0.0
00-0026197,C.Henne,KC,2022,0.090604246,9,0.5555555555555556,0.0
00-0026300,J.Johnson,NYJ,2021,0.31998166,88,0.6477272727272727,0.03296703296703297
00-0026300,J.Johnson,SF,2022,-0.16831858,17,0.47058823529411764,0.10526315789473684
00-0026300,J.Johnson,BAL,2024,-0.4524339,4,0.5,0.2
00-0026300,J.Johnson,WAS,2025,0.1489333,54,0.6296296296296297,0.03571428571428571
00-0026498,M.Stafford,DET,2019,0.21671389,308,0.6071428571428571,0.05521472392638037
00-0026498,M.Stafford,DET,2020,0.11908417,563,0.6021314387211367,0.0632279534109817
00-0026498,M.Stafford,LA,2021,0.2106329,780,0.6435897435897436,0.04528763769889841
00-0026498,M.Stafford,LA,2022,-0.08265407,332,0.6204819277108434,0.08033240997229917
00-0026498,M.Stafford,LA,2023,0.11745054,589,0.5959252971137521,0.05152979066022544
00-0026498,M.Stafford,LA,2024,0.07291169,624,0.6169871794871795,0.05311077389984825
00-0026498,M.Stafford,LA,2025,0.21804404,741,0.6126855600539811,0.03766233766233766
00-0026516,B.Colquitt,MIN,2020,-0.947,1,0.0,0.0
00-0026544,C.Daniel,CHI,2019,0.04726383,71,0.6338028169014085,0.08974358974358974
