team,season,qb_name,avg_separation,time_to_throw,pass_block_win_rate
TB,2019,Jameis Winston,2.5887019230769233,2.77,0.58
DAL,2019,Dak Prescott,2.7158291457286436,2.88,0.61
LA,2019,Jared Goff,3.308752327746741,2.8,0.57
LAC,2019,Philip Rivers,2.475873015873016,2.63,0.58
ATL,2019,Matt Ryan,2.829928741092637,2.77,0.5
SEA,2019,Russell Wilson,2.915506329113924,2.85,0.54
NE,2019,Tom Brady,2.908445945945946,2.75,0.58
LV,2019,Derek Carr,3.0727272727272728,2.82,0.63
PHI,2019,Carson Wentz,2.863911845730027,2.71,0.58
KC,2019,Patrick Mahomes,3.0754054054054056,2.82,0.6
GB,2019,Aaron Rodgers,3.1951428571428577,2.88,0.72
SF,2019,Jimmy Garoppolo,2.986018237082067,2.65,0.55
HOU,2019,Deshaun Watson,2.88311345646438,2.82,0.62
CLE,2019,Baker Mayfield,2.6,2.78,0.63
ARI,2019,Kyler Murray,3.240304182509506,2.73,0.62
MIN,2019,Kirk Cousins,2.821631205673759,3.01,0.57
MIA,2019,Ryan Fitzpatrick,2.549740932642487,2.61,0.41
CIN,2019,Andy Dalton,2.571764705882353,2.51,0.47
CAR,2019,Kyle Allen,2.7042105263157894,2.71,0.5
JAX,2019,Gardner Minshew,2.785113268608414,2.85,0.56
CHI,2019,Mitchell Trubisky,2.617073170731707,2.64,0.61
BAL,2019,Lamar Jackson,3.1003891050583654,2.92,0.69
BUF,2019,Josh Allen,2.7867158671586716,2.86,0.62
NYG,2019,Daniel Jones,2.6246875000000003,2.84,0.61
NYJ,2019,Sam Darnold,2.6166666666666667,2.92,0.59
NO,2019,Drew Brees,2.572875816993464,2.57,0.56
IND,2019,Jacoby Brissett,3.121212121212121,2.93,0.65
TEN,2019,Ryan Tannehill,2.74672131147541,2.9,0.63
DET,2019,Matthew Stafford,2.309090909090909,2.69,0.59
DEN,2019,Joe Flacco,2.726446280991736,2.62,0.55
PIT,2019,Mason Rudolph,3.057912457912458,2.8,0.62
WAS,2019,Case Keenum,2.5095833333333335,2.75,0.58
NO,2019,Teddy Bridgewater,2.572875816993464,2.82,0.56
WAS,2019,Dwayne Haskins,2.5095833333333335,2.87,0.58
TEN,2019,Marcus Mariota,2.74672131147541,2.84,0.63
PIT,2019,Devlin Hodges,3.057912457912458,2.84,0.62
NYG,2019,Eli Manning,2.6246875000000003,2.66,0.61
DEN,2019,Drew Lock,2.726446280991736,2.83,0.55
DET,2019,David Blough,2.309090909090909,2.88,0.59
HOU,2020,Deshaun Watson,3.1013745704467355,2.85,0.56
KC,2020,Patrick Mahomes,3.400438596491228,2.89,0.63
TB,2020,Tom Brady,2.9706493506493508,2.57,0.57
ATL,2020,Matt Ryan,2.947794117647059,2.87,0.57
BUF,2020,Josh Allen,3.2911832946635733,3.04,0.64
LAC,2020,Justin Herbert,2.6521052631578947,2.69,0.47
GB,2020,Aaron Rodgers,3.4388012618296533,2.72,0.74
MIN,2020,Kirk Cousins,2.701449275362319,2.88,0.56
SEA,2020,Russell Wilson,3.171753246753247,2.97,0.62
IND,2020,Philip Rivers,2.8996323529411767,2.52,0.6
LV,2020,Derek Carr,3.006340057636888,2.78,0.6
DET,2020,Matthew Stafford,3.0014035087719297,2.65,0.55
ARI,2020,Kyler Murray,3.3303370786516853,2.74,0.67
LA,2020,Jared Goff,3.173464912280702,2.76,0.63
TEN,2020,Ryan Tannehill,2.585126582278481,2.69,0.53
PIT,2020,Ben Roethlisberger,2.901325757575757,2.3,0.51
CAR,2020,Teddy Bridgewater,2.9313390313390317,2.6,0.53
CLE,2020,Baker Mayfield,2.97218045112782,3.05,0.71
NYG,2020,Daniel Jones,2.6400576368876076,2.76,0.46
NO,2020,Drew Brees,2.8287449392712554,2.66,0.63
DEN,2020,Drew Lock,2.9568831168831173,2.87,0.54
BAL,2020,Lamar Jackson,3.01864406779661,2.98,0.62
CIN,2020,Joe Burrow,2.534666666666667,2.65,0.5
NE,2020,Cam Newton,3.124186046511628,2.84,0.59
PHI,2020,Carson Wentz,3.0465875370919884,2.91,0.6
SF,2020,Nick Mullens,3.1600619195046438,2.63,0.54
JAX,2020,Gardner Minshew,2.849608355091384,2.77,0.51
NYJ,2020,Sam Darnold,3.0109215017064845,2.85,0.5
DAL,2020,Andy Dalton,2.7986206896551726,2.5,0.51
MIA,2020,Ryan Fitzpatrick,2.222727272727273,2.38,0.51
CHI,2020,Mitchell Trubisky,2.865842696629214,2.66,0.58
DAL,2020,Dak Prescott,2.7986206896551726,2.77,0.51
CHI,2020,Nick Foles,2.865842696629214,2.51,0.58
MIA,2020,Tua Tagovailoa,2.222727272727273,2.55,0.51
WAS,2020,Alex Smith,2.9527397260273975,2.63,0.59
WAS,2020,Dwayne Haskins,2.9527397260273975,2.55,0.59
SF,2020,Jimmy Garoppolo,3.1600619195046438,2.57,0.54
JAX,2020,Mike Glennon,2.849608355091384,2.58,0.51
PHI,2020,Jalen Hurts,3.0465875370919884,3.11,0.6
CIN,2020,Brandon Allen,2.534666666666667,2.51,0.5
NYJ,2020,Joe Flacco,3.0109215017064845,2.88,0.5
TB,2021,Tom Brady,3.0714285714285716,2.5,0.6
LAC,2021,Justin Herbert,2.881974248927039,2.83,0.61
LA,2021,Matthew Stafford,3.195736434108527,2.8,0.68
KC,2021,Patrick Mahomes,3.6717889908256875,2.84,0.68
LV,2021,Derek Carr,3.0140401146131808,2.82,0.59
CIN,2021,Joe Burrow,2.7698734177215187,2.69,0.49
DAL,2021,Dak Prescott,3.0483370288248337,2.75,0.58
BUF,2021,Josh Allen,3.210373443983402,2.9,0.64
MIN,2021,Kirk Cousins,3.08491879350348,2.76,0.54
GB,2021,Aaron Rodgers,2.7992957746478875,2.63,0.66
ATL,2021,Matt Ryan,2.6954692556634305,2.77,0.54
SF,2021,Jimmy Garoppolo,3.124749163879599,2.67,0.61
NE,2021,Mac Jones,2.9639473684210524,2.71,0.62
ARI,2021,Kyler Murray,3.4082758620689657,2.77,0.61
